mcc,mccg,mccg_name
0,0,
3072,1,Airlines
3211,1,Airlines
3246,1,Airlines
3296,1,Airlines
3355,4,Car Rental
3604,5,Lodging
3793,5,Lodging
3811,5,Lodging
3825,5,Lodging
3830,5,Lodging
5815,10,Miscellaneous Stores
5817,10,Miscellaneous Stores
6513,10,Miscellaneous Stores
6540,10,Miscellaneous Stores
3180,1,Airlines
3247,1,Airlines
3559,5,Lodging
3567,5,Lodging
3589,5,Lodging
3596,5,Lodging
3602,5,Lodging
3613,5,Lodging
3616,5,Lodging
3618,5,Lodging
3790,5,Lodging
3791,5,Lodging
3792,5,Lodging
3796,5,Lodging
3808,5,Lodging
3812,5,Lodging
3813,5,Lodging
3814,5,Lodging
3816,5,Lodging
3818,5,Lodging
3824,5,Lodging
3832,5,Lodging
3501,13,Lodging
3502,13,Lodging
3503,13,Lodging
3504,13,Lodging
3509,13,Lodging
3510,13,Lodging
3513,13,Lodging
3518,13,Lodging
3520,13,Lodging
3529,13,Lodging
3530,13,Lodging
3533,13,Lodging
3535,13,Lodging
3545,13,Lodging
3549,13,Lodging
3551,13,Lodging
3555,13,Lodging
3590,13,Lodging
3612,13,Lodging
3615,13,Lodging
3628,13,Lodging
3631,13,Lodging
3637,13,Lodging
3638,13,Lodging
3641,13,Lodging
3642,13,Lodging
3643,13,Lodging
3644,13,Lodging
3649,13,Lodging
3650,13,Lodging
3654,13,Lodging
3655,13,Lodging
3665,13,Lodging
3667,13,Lodging
3684,13,Lodging
3687,13,Lodging
3692,13,Lodging
3700,13,Lodging
3703,13,Lodging
3709,13,Lodging
3715,13,Lodging
3716,13,Lodging
3722,13,Lodging
3740,13,Lodging
3741,13,Lodging
3750,13,Lodging
3765,13,Lodging
3769,13,Lodging
3771,13,Lodging
3782,13,Lodging
3634,13,Lodging
3515,13,Lodging
3536,13,Lodging
3541,13,Lodging
3552,13,Lodging
3565,13,Lodging
3586,13,Lodging
3625,13,Lodging
3629,13,Lodging
3635,13,Lodging
3652,13,Lodging
3668,13,Lodging
3676,13,Lodging
3679,13,Lodging
3685,13,Lodging
3701,13,Lodging
3717,13,Lodging
3719,13,Lodging
3720,13,Lodging
3731,13,Lodging
3760,13,Lodging
3767,13,Lodging
3773,13,Lodging
3786,13,Lodging
5966,14,Miscellaneous Stores
5967,14,Miscellaneous Stores
5713,15,Miscellaneous Stores
5718,15,Miscellaneous Stores
5719,15,Miscellaneous Stores
5732,15,Miscellaneous Stores
5733,15,Miscellaneous Stores
5735,15,Miscellaneous Stores
5912,15,Miscellaneous Stores
5921,15,Miscellaneous Stores
5932,15,Miscellaneous Stores
5935,15,Miscellaneous Stores
5937,15,Miscellaneous Stores
5945,15,Miscellaneous Stores
5947,15,Miscellaneous Stores
5948,15,Miscellaneous Stores
5970,15,Miscellaneous Stores
5971,15,Miscellaneous Stores
5972,15,Miscellaneous Stores
5973,15,Miscellaneous Stores
5977,15,Miscellaneous Stores
5993,15,Miscellaneous Stores
5995,15,Miscellaneous Stores
7211,16,Miscellaneous Stores
7217,16,Miscellaneous Stores
7298,16,Miscellaneous Stores
6300,17,Miscellaneous Stores
8011,17,Professional Services and Membership Organizations
8043,17,Professional Services and Membership Organizations
8062,17,Professional Services and Membership Organizations
8071,17,Professional Services and Membership Organizations
8734,17,Professional Services and Membership Organizations
8911,17,Professional Services and Membership Organizations
8931,17,Professional Services and Membership Organizations
6011,24,Miscellaneous Stores
6051,24,Miscellaneous Stores
5311,18,Retail Outlet Services
5681,18,Clothing Stores
5698,18,Clothing Stores
5944,18,Miscellaneous Stores
7261,18,Miscellaneous Stores
7277,19,Miscellaneous Stores
7297,19,Miscellaneous Stores
7995,19,Business Services
9223,19,Government Services
7534,21,Business Services
7542,21,Business Services
7631,21,Business Services
7641,21,Business Services
7623,21,Business Services
7692,21,Business Services
5813,22,Miscellaneous Stores
5814,22,Miscellaneous Stores
5200,23,Retail Outlet Services
5211,23,Retail Outlet Services
5251,23,Retail Outlet Services
5261,23,Retail Outlet Services
5271,23,Retail Outlet Services
5300,23,Retail Outlet Services
5309,23,Retail Outlet Services
5310,23,Retail Outlet Services
5399,23,Retail Outlet Services
5411,23,Retail Outlet Services
5422,23,Retail Outlet Services
5451,23,Retail Outlet Services
5499,23,Retail Outlet Services
4814,25,Utility Services
4011,26,Transportation Services
4111,26,Transportation Services
4214,26,Transportation Services
4215,26,Transportation Services
4225,26,Transportation Services
4457,26,Transportation Services
4468,26,Transportation Services
4784,26,Transportation Services
4900,27,Utility Services
5983,27,Miscellaneous Stores
5021,28,Retail Outlet Services
5044,28,Retail Outlet Services
5045,28,Retail Outlet Services
5051,28,Retail Outlet Services
5072,28,Retail Outlet Services
5074,28,Retail Outlet Services
5094,28,Retail Outlet Services
5099,28,Retail Outlet Services
5122,28,Retail Outlet Services
5139,28,Retail Outlet Services
5169,28,Retail Outlet Services
5172,28,Retail Outlet Services
5192,28,Retail Outlet Services
3001,1,Airlines
3005,1,Airlines
3006,1,Airlines
3008,1,Airlines
3010,1,Airlines
3011,1,Airlines
3013,1,Airlines
3014,1,Airlines
3015,1,Airlines
3016,1,Airlines
3020,1,Airlines
3022,1,Airlines
3026,1,Airlines
3029,1,Airlines
3030,1,Airlines
3035,1,Airlines
3037,1,Airlines
3039,1,Airlines
3052,1,Airlines
3057,1,Airlines
3058,1,Airlines
3076,1,Airlines
3077,1,Airlines
3078,1,Airlines
3088,1,Airlines
3099,1,Airlines
3102,1,Airlines
3161,1,Airlines
3182,1,Airlines
3184,1,Airlines
3196,1,Airlines
3217,1,Airlines
3219,1,Airlines
3221,1,Airlines
3223,1,Airlines
3297,1,Airlines
4511,1,Transportation Services
3024,1,Airlines
3025,1,Airlines
3031,1,Airlines
3040,1,Airlines
3042,1,Airlines
3049,1,Airlines
3089,1,Airlines
3129,1,Airlines
3171,1,Airlines
3228,1,Airlines
3240,1,Airlines
3263,1,Airlines
3298,1,Airlines
4411,2,Transportation Services
7832,2,Business Services
7841,2,Business Services
7941,2,Business Services
7992,2,Business Services
7993,2,Business Services
7994,2,Business Services
7997,2,Business Services
7998,2,Business Services
8398,3,Professional Services and Membership Organizations
8641,3,Professional Services and Membership Organizations
3359,4,Car Rental
3366,4,Car Rental
3374,4,Car Rental
3381,4,Car Rental
3405,4,Car Rental
7512,4,Business Services
3370,4,Car Rental
3385,4,Car Rental
3400,4,Car Rental
3409,4,Car Rental
5511,5,Retail Outlet Services
5532,5,Retail Outlet Services
5561,5,Retail Outlet Services
5571,5,Retail Outlet Services
5592,5,Retail Outlet Services
5599,5,Retail Outlet Services
7321,6,Business Services
7339,6,Business Services
7349,6,Business Services
7361,6,Business Services
7379,6,Business Services
7392,6,Business Services
7393,6,Business Services
7519,6,Business Services
5611,8,Clothing Stores
5641,8,Clothing Stores
5691,8,Clothing Stores
763,9,Agricultural Services
1520,9,Contracted Services
1711,9,Contracted Services
1731,9,Contracted Services
1740,9,Contracted Services
1750,9,Contracted Services
1761,9,Contracted Services
1799,9,Contracted Services
8241,10,Professional Services and Membership Organizations
8249,10,Professional Services and Membership Organizations
8299,10,Professional Services and Membership Organizations
5541,11,Retail Outlet Services
5542,11,Retail Outlet Services
9311,12,Government Services
9402,12,Government Services
763,1,Agricultural Services
1799,2,Contracted Services
3501,5,Lodging
3504,5,Lodging
3506,5,Lodging
3512,5,Lodging
3516,5,Lodging
3542,5,Lodging
3642,5,Lodging
3643,5,Lodging
3665,5,Lodging
3672,5,Lodging
3690,5,Lodging
3700,5,Lodging
3703,5,Lodging
3715,5,Lodging
3750,5,Lodging
3771,5,Lodging
3778,5,Lodging
4112,6,Transportation Services
4121,6,Transportation Services
4131,6,Transportation Services
4215,6,Transportation Services
4411,6,Transportation Services
4468,6,Transportation Services
4722,6,Transportation Services
4784,6,Transportation Services
4789,6,Transportation Services
4814,7,Utility Services
4816,7,Utility Services
4899,7,Utility Services
5045,8,Retail Outlet Services
